authorYear,study,designType,cluster,case,phase,session,outcome,complexityMeasure
Alghamdi et al. (2020),1,multiProbe,1,1,A,1,34,combinedType
Alghamdi et al. (2020),1,multiProbe,1,1,A,2,29,combinedType
Alghamdi et al. (2020),1,multiProbe,1,1,A,3,32,combinedType
Alghamdi et al. (2020),1,multiProbe,1,1,A,4,36,combinedType
Alghamdi et al. (2020),1,multiProbe,1,1,A,5,37,combinedType
Alghamdi et al. (2020),1,multiProbe,1,1,A,6,34,combinedType
Alghamdi et al. (2020),1,multiProbe,1,1,B,10,71,combinedType
Alghamdi et al. (2020),1,multiProbe,1,1,B,12,98,combinedType
Alghamdi et al. (2020),1,multiProbe,1,1,B,14,89,combinedType
Alghamdi et al. (2020),1,multiProbe,1,1,B,16,99,combinedType
Alghamdi et al. (2020),1,multiProbe,1,1,B,18,98,combinedType
Alghamdi et al. (2020),1,multiProbe,1,1,M,29,90,combinedType
Alghamdi et al. (2020),1,multiProbe,1,1,M,34,90,combinedType
Alghamdi et al. (2020),1,multiProbe,1,2,A,1,35,combinedType
Alghamdi et al. (2020),1,multiProbe,1,2,A,2,49,combinedType
Alghamdi et al. (2020),1,multiProbe,1,2,A,4,55,combinedType
Alghamdi et al. (2020),1,multiProbe,1,2,A,10,44,combinedType
Alghamdi et al. (2020),1,multiProbe,1,2,A,11,35,combinedType
Alghamdi et al. (2020),1,multiProbe,1,2,B,15,84,combinedType
Alghamdi et al. (2020),1,multiProbe,1,2,B,17,87,combinedType
Alghamdi et al. (2020),1,multiProbe,1,2,B,19,80,combinedType
Alghamdi et al. (2020),1,multiProbe,1,2,B,21,97,combinedType
Alghamdi et al. (2020),1,multiProbe,1,2,B,23,94,combinedType
Alghamdi et al. (2020),1,multiProbe,1,2,M,34,87,combinedType
Alghamdi et al. (2020),1,multiProbe,1,2,M,39,99,combinedType
Alghamdi et al. (2020),1,multiProbe,1,3,A,1,14,combinedType
Alghamdi et al. (2020),1,multiProbe,1,3,A,2,13,combinedType
Alghamdi et al. (2020),1,multiProbe,1,3,A,4,9,combinedType
Alghamdi et al. (2020),1,multiProbe,1,3,A,14,17,combinedType
Alghamdi et al. (2020),1,multiProbe,1,3,A,15,0,combinedType
Alghamdi et al. (2020),1,multiProbe,1,3,B,19,40,combinedType
Alghamdi et al. (2020),1,multiProbe,1,3,B,21,69,combinedType
Alghamdi et al. (2020),1,multiProbe,1,3,B,23,80,combinedType
Alghamdi et al. (2020),1,multiProbe,1,3,B,25,93,combinedType
Alghamdi et al. (2020),1,multiProbe,1,3,B,27,78,combinedType
Alghamdi et al. (2020),1,multiProbe,1,3,M,33,84,combinedType
Alghamdi et al. (2020),1,multiProbe,1,3,M,39,86,combinedType
Bundock et al. (2021),2,multiProbe,1,1,A,1,0,singleType
Bundock et al. (2021),2,multiProbe,1,1,A,3,0,singleType
Bundock et al. (2021),2,multiProbe,1,1,A,6,0,singleType
Bundock et al. (2021),2,multiProbe,1,1,A,12,0,singleType
Bundock et al. (2021),2,multiProbe,1,1,A,19,0,singleType
Bundock et al. (2021),2,multiProbe,1,1,B,30,11,singleType
Bundock et al. (2021),2,multiProbe,1,1,B,50,14,singleType
Bundock et al. (2021),2,multiProbe,1,1,B,77,7,singleType
Bundock et al. (2021),2,multiProbe,1,1,B,93,39,singleType
Bundock et al. (2021),2,multiProbe,1,1,M,97,4,singleType
Bundock et al. (2021),2,multiProbe,1,1,M,102,14,singleType
Bundock et al. (2021),2,multiProbe,1,1,M,107,11,singleType
Bundock et al. (2021),2,multiProbe,1,1,M,114,14,singleType
Bundock et al. (2021),2,multiProbe,1,1,M,119,14,singleType
Bundock et al. (2021),2,multiProbe,1,1,M,123,29,singleType
Bundock et al. (2021),2,multiProbe,1,2,A,37,14,singleType
Bundock et al. (2021),2,multiProbe,1,2,A,40,14,singleType
Bundock et al. (2021),2,multiProbe,1,2,A,44,25,singleType
Bundock et al. (2021),2,multiProbe,1,2,A,49,11,singleType
Bundock et al. (2021),2,multiProbe,1,2,A,55,18,singleType
Bundock et al. (2021),2,multiProbe,1,2,A,58,18,singleType
Bundock et al. (2021),2,multiProbe,1,2,A,63,11,singleType
Bundock et al. (2021),2,multiProbe,1,2,B,75,21,singleType
Bundock et al. (2021),2,multiProbe,1,2,B,103,21,singleType
Bundock et al. (2021),2,multiProbe,1,2,B,134,14,singleType
Bundock et al. (2021),2,multiProbe,1,2,B,144,64,singleType
Bundock et al. (2021),2,multiProbe,2,1,A,1,0,singleType
Bundock et al. (2021),2,multiProbe,2,1,A,3,0,singleType
Bundock et al. (2021),2,multiProbe,2,1,A,6,0,singleType
Bundock et al. (2021),2,multiProbe,2,1,A,12,0,singleType
Bundock et al. (2021),2,multiProbe,2,1,A,19,0,singleType
Bundock et al. (2021),2,multiProbe,2,1,B,30,8,singleType
Bundock et al. (2021),2,multiProbe,2,1,B,50,0,singleType
Bundock et al. (2021),2,multiProbe,2,1,B,77,0,singleType
Bundock et al. (2021),2,multiProbe,2,1,B,93,11,singleType
Bundock et al. (2021),2,multiProbe,2,1,M,97,3,singleType
Bundock et al. (2021),2,multiProbe,2,1,M,102,11,singleType
Bundock et al. (2021),2,multiProbe,2,1,M,107,8,singleType
Bundock et al. (2021),2,multiProbe,2,1,M,114,11,singleType
Bundock et al. (2021),2,multiProbe,2,1,M,119,8,singleType
Bundock et al. (2021),2,multiProbe,2,1,M,123,0,singleType
Bundock et al. (2021),2,multiProbe,2,2,A,37,14,singleType
Bundock et al. (2021),2,multiProbe,2,2,A,40,11,singleType
Bundock et al. (2021),2,multiProbe,2,2,A,44,33,singleType
Bundock et al. (2021),2,multiProbe,2,2,A,49,6,singleType
Bundock et al. (2021),2,multiProbe,2,2,A,55,36,singleType
Bundock et al. (2021),2,multiProbe,2,2,A,58,14,singleType
Bundock et al. (2021),2,multiProbe,2,2,A,63,6,singleType
Bundock et al. (2021),2,multiProbe,2,2,B,75,8,singleType
Bundock et al. (2021),2,multiProbe,2,2,B,103,14,singleType
Bundock et al. (2021),2,multiProbe,2,2,B,134,17,singleType
Bundock et al. (2021),2,multiProbe,2,2,B,144,31,singleType
Edwards et al. (2020),3,multiProbe,1,1,A,1,0,singleType
Edwards et al. (2020),3,multiProbe,1,1,A,2,0,singleType
Edwards et al. (2020),3,multiProbe,1,1,A,3,0,singleType
Edwards et al. (2020),3,multiProbe,1,1,A,4,0,singleType
Edwards et al. (2020),3,multiProbe,1,1,A,5,0,singleType
Edwards et al. (2020),3,multiProbe,1,1,B,6,100,singleType
Edwards et al. (2020),3,multiProbe,1,1,B,7,100,singleType
Edwards et al. (2020),3,multiProbe,1,1,B,8,100,singleType
Edwards et al. (2020),3,multiProbe,1,1,B,9,100,singleType
Edwards et al. (2020),3,multiProbe,1,1,B,10,100,singleType
Edwards et al. (2020),3,multiProbe,1,1,B,11,100,singleType
Edwards et al. (2020),3,multiProbe,1,1,B,19,80,singleType
Edwards et al. (2020),3,multiProbe,1,1,B,27,100,singleType
Edwards et al. (2020),3,multiProbe,1,1,B,32,100,singleType
Edwards et al. (2020),3,multiProbe,1,2,A,1,0,singleType
Edwards et al. (2020),3,multiProbe,1,2,A,6,0,singleType
Edwards et al. (2020),3,multiProbe,1,2,A,7,0,singleType
Edwards et al. (2020),3,multiProbe,1,2,A,8,0,singleType
Edwards et al. (2020),3,multiProbe,1,2,A,9,0,singleType
Edwards et al. (2020),3,multiProbe,1,2,A,10,0,singleType
Edwards et al. (2020),3,multiProbe,1,2,B,11,100,singleType
Edwards et al. (2020),3,multiProbe,1,2,B,12,100,singleType
Edwards et al. (2020),3,multiProbe,1,2,B,13,90,singleType
Edwards et al. (2020),3,multiProbe,1,2,B,14,100,singleType
Edwards et al. (2020),3,multiProbe,1,2,B,15,100,singleType
Edwards et al. (2020),3,multiProbe,1,2,B,16,100,singleType
Edwards et al. (2020),3,multiProbe,1,2,B,17,100,singleType
Edwards et al. (2020),3,multiProbe,1,2,B,18,100,singleType
Edwards et al. (2020),3,multiProbe,1,2,B,19,100,singleType
Edwards et al. (2020),3,multiProbe,1,2,B,27,100,singleType
Edwards et al. (2020),3,multiProbe,1,2,B,36,100,singleType
Edwards et al. (2020),3,multiProbe,1,3,A,1,0,singleType
Edwards et al. (2020),3,multiProbe,1,3,A,6,0,singleType
Edwards et al. (2020),3,multiProbe,1,3,A,11,0,singleType
Edwards et al. (2020),3,multiProbe,1,3,A,14,0,singleType
Edwards et al. (2020),3,multiProbe,1,3,A,15,0,singleType
Edwards et al. (2020),3,multiProbe,1,3,A,16,0,singleType
