,authorYear,study,designType,multiBase,multiProbe,cluster,case,phase,A,B,M,session,outcome,complexityMeasure,singleType,mixedType,generalization,level_AB,level_BM,time_A,time_B,time_M,trend_AB,trend_BM
1,Alghamdi et al. (2020),1,multiProbe,0,1,1,1,A,1,0,0,1,34,mixedType,0,1,0,0,0,0,-9,-28,0,0
2,Alghamdi et al. (2020),1,multiProbe,0,1,1,1,A,1,0,0,2,29,mixedType,0,1,0,0,0,1,-8,-27,0,0
3,Alghamdi et al. (2020),1,multiProbe,0,1,1,1,A,1,0,0,3,32,mixedType,0,1,0,0,0,2,-7,-26,0,0
4,Alghamdi et al. (2020),1,multiProbe,0,1,1,1,A,1,0,0,4,36,mixedType,0,1,0,0,0,3,-6,-25,0,0
5,Alghamdi et al. (2020),1,multiProbe,0,1,1,1,A,1,0,0,5,37,mixedType,0,1,0,0,0,4,-5,-24,0,0
6,Alghamdi et al. (2020),1,multiProbe,0,1,1,1,A,1,0,0,6,34,mixedType,0,1,0,0,0,5,-4,-23,0,0
7,Alghamdi et al. (2020),1,multiProbe,0,1,1,1,B,0,1,0,10,71,mixedType,0,1,0,1,0,9,0,-19,0,0
8,Alghamdi et al. (2020),1,multiProbe,0,1,1,1,B,0,1,0,12,98,mixedType,0,1,0,1,0,11,2,-17,2,0
9,Alghamdi et al. (2020),1,multiProbe,0,1,1,1,B,0,1,0,14,89,mixedType,0,1,0,1,0,13,4,-15,4,0
10,Alghamdi et al. (2020),1,multiProbe,0,1,1,1,B,0,1,0,16,99,mixedType,0,1,0,1,0,15,6,-13,6,0
11,Alghamdi et al. (2020),1,multiProbe,0,1,1,1,B,0,1,0,18,98,mixedType,0,1,0,1,0,17,8,-11,8,0
12,Alghamdi et al. (2020),1,multiProbe,0,1,1,1,M,0,0,1,29,90,mixedType,0,1,0,1,1,28,19,0,19,0
13,Alghamdi et al. (2020),1,multiProbe,0,1,1,1,M,0,0,1,34,90,mixedType,0,1,0,1,1,33,24,5,24,5
14,Alghamdi et al. (2020),1,multiProbe,0,1,1,2,A,1,0,0,1,35,mixedType,0,1,0,0,0,0,-14,-33,0,0
15,Alghamdi et al. (2020),1,multiProbe,0,1,1,2,A,1,0,0,2,49,mixedType,0,1,0,0,0,1,-13,-32,0,0
16,Alghamdi et al. (2020),1,multiProbe,0,1,1,2,A,1,0,0,4,55,mixedType,0,1,0,0,0,3,-11,-30,0,0
17,Alghamdi et al. (2020),1,multiProbe,0,1,1,2,A,1,0,0,10,44,mixedType,0,1,0,0,0,9,-5,-24,0,0
18,Alghamdi et al. (2020),1,multiProbe,0,1,1,2,A,1,0,0,11,35,mixedType,0,1,0,0,0,10,-4,-23,0,0
19,Alghamdi et al. (2020),1,multiProbe,0,1,1,2,B,0,1,0,15,84,mixedType,0,1,0,1,0,14,0,-19,0,0
20,Alghamdi et al. (2020),1,multiProbe,0,1,1,2,B,0,1,0,17,87,mixedType,0,1,0,1,0,16,2,-17,2,0
21,Alghamdi et al. (2020),1,multiProbe,0,1,1,2,B,0,1,0,19,80,mixedType,0,1,0,1,0,18,4,-15,4,0
22,Alghamdi et al. (2020),1,multiProbe,0,1,1,2,B,0,1,0,21,97,mixedType,0,1,0,1,0,20,6,-13,6,0
23,Alghamdi et al. (2020),1,multiProbe,0,1,1,2,B,0,1,0,23,94,mixedType,0,1,0,1,0,22,8,-11,8,0
24,Alghamdi et al. (2020),1,multiProbe,0,1,1,2,M,0,0,1,34,87,mixedType,0,1,0,1,1,33,19,0,19,0
25,Alghamdi et al. (2020),1,multiProbe,0,1,1,2,M,0,0,1,39,99,mixedType,0,1,0,1,1,38,24,5,24,5
26,Alghamdi et al. (2020),1,multiProbe,0,1,1,3,A,1,0,0,1,14,mixedType,0,1,0,0,0,0,-18,-32,0,0
27,Alghamdi et al. (2020),1,multiProbe,0,1,1,3,A,1,0,0,2,13,mixedType,0,1,0,0,0,1,-17,-31,0,0
28,Alghamdi et al. (2020),1,multiProbe,0,1,1,3,A,1,0,0,4,9,mixedType,0,1,0,0,0,3,-15,-29,0,0
29,Alghamdi et al. (2020),1,multiProbe,0,1,1,3,A,1,0,0,14,17,mixedType,0,1,0,0,0,13,-5,-19,0,0
30,Alghamdi et al. (2020),1,multiProbe,0,1,1,3,A,1,0,0,15,0,mixedType,0,1,0,0,0,14,-4,-18,0,0
